"","ASVs","Domain","Phylum","Class","Order","Family","Genus","C1","C3","C4","C5","C8","C9","C10","C12","C13","C15","C17","C18","C19","C20","C21","C24","E1","E2","E6","E9","E10","E14","E19","E21","E23"
"1","ASV1"," d__Eukaryota"," Amoebozoa"," Amoebozoa"," Amoebozoa"," Amoebozoa"," Amoebozoa",1,11,17,33,17,5,9,12,0,26,3,1,0,6,10,69,11,7,27,0,9,18,8,7,3
"2","ASV2"," d__Eukaryota"," Cryptophyceae"," Cryptophyceae"," Cryptophyceae"," Cryptophyceae"," Cryptophyceae",3,10,77,8,1,9,1,17,6,10,3,10,12,26,27,215,0,3,3,0,8,157,14,6,2
"3","ASV3"," d__Eukaryota"," Fungi"," Fungi"," Fungi"," Fungi"," Fungi",14,21,139,40,22,42,173,60,125,78,31,73,11,58,57,212,94,86,100,54,162,540,104,29,32
"4","ASV4"," d__Eukaryota"," Glaucocystophyceae"," Glaucocystophyceae"," Glaucocystophyceae"," Glaucocystophyceae"," Glaucocystophyceae",1,0,58,6,5,1,3,4,10,2,0,1,0,2,3,15,3,0,5,0,0,30,1,1,0
"5","ASV5"," d__Eukaryota"," Metazoa"," Metazoa"," Metazoa"," Metazoa"," Metazoa",5,20,220,54,29,9,54,45,57,100,12,57,28,60,80,172,29,14,226,22,183,179,68,22,21
"6","ASV6"," d__Eukaryota"," Rhodophyta"," Rhodophyta"," Rhodophyta"," Rhodophyta"," Rhodophyta",4,0,25,8,4,3,7,19,15,9,4,21,3,8,21,114,4,4,7,1,15,77,14,5,3
"7","ASV7"," d__Eukaryota"," Sar"," Sar"," Sar"," Sar"," Sar",13,2,66,7,9,2,13,47,8,21,0,7,3,52,21,108,3,2,5,3,14,102,19,15,3
"8","ASV8"," d__Eukaryota"," Viridiplantae"," Viridiplantae"," Viridiplantae"," Viridiplantae"," Viridiplantae",246,74,1727,428,377,86,862,714,436,446,64,1291,1841,1097,461,1763,58,136,692,726,1004,3112,628,380,314
"9","ASV9"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," c__ABY1"," c__ABY1"," c__ABY1",2,1,238,8,0,0,1,14,127,14,0,74,44,27,52,256,0,1,4,0,22,776,30,13,2
"10","ASV10"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," c__Acidimicrobiia"," c__Acidimicrobiia"," c__Acidimicrobiia",1,0,1,0,1,0,0,19,0,1,0,0,0,1,0,4,0,0,2,0,0,49,18,0,0
"11","ASV11"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," c__Actinomycetes"," c__Actinomycetes"," c__Actinomycetes",21,0,13,155,8,5,1,73,101,13,8,20,0,2,14,202,250,5,76,3,25,81,268,9,100
"12","ASV12"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," c__Alphaproteobacteria"," c__Alphaproteobacteria"," c__Alphaproteobacteria",127,53,626,359,125,89,24,563,125,629,5,340,15,8,162,248,298,5,193,7,257,137,318,146,273
"13","ASV13"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," c__Bacteroidia"," c__Bacteroidia"," c__Bacteroidia",27,19,17,38,57,26,28,27,35,20,1,56,6,11,33,33,6,9,35,10,24,44,161,33,6
"14","ASV15"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," c__Coriobacteriia"," c__Coriobacteriia"," c__Coriobacteriia",12,0,0,3,7,2,0,4,0,4,8,0,3,0,3,0,0,4,5,2,6,2,6,6,4
"15","ASV16"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," c__Dehalococcoidia"," c__Dehalococcoidia"," c__Dehalococcoidia",9,3,35,4,3,2,0,13,2,6,0,5,1,602,2,169,0,0,27,0,19,491,18,4,2
"16","ASV17"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," c__Gammaproteobacteria"," c__Gammaproteobacteria"," c__Gammaproteobacteria",91,25,92,107,76,52,3437,646,110,141,818,236,330,62,647,119,111,57,180,199,169,288,230,74,505
"17","ASV18"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," c__Micrarchaeia"," c__Micrarchaeia"," c__Micrarchaeia",1,0,4,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,18,22,1,0,0
"18","ASV19"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," c__Microgenomatia"," c__Microgenomatia"," c__Microgenomatia",1,2,60,11,2,0,0,9,65,5,1,23,1,261,20,652,3,0,7,0,11,893,53,9,4
"19","ASV20"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," c__Paceibacteria"," c__Paceibacteria"," c__Paceibacteria",16,13,1925,8,0,9,1,64,73,109,1,33,8,234,62,638,1,0,23,0,50,998,18,33,5
"20","ASV21"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," c__Terriglobia"," c__Terriglobia"," c__Terriglobia",2,0,5,0,2,0,1,0,1,3,0,2,0,1,0,52,0,0,1,0,0,5,0,0,0
"21","ASV22"," d__Bacteria"," p__Nitrospirota"," c__Thermodesulfovibrionia"," c__Thermodesulfovibrionia"," c__Thermodesulfovibrionia"," c__Thermodesulfovibrionia",3,0,0,1,0,0,0,6,0,0,0,4,9,11,3,0,0,0,0,0,0,0,0,0,3
"22","ASV23"," d__Archaea"," d__Archaea"," d__Archaea"," d__Archaea"," d__Archaea"," d__Archaea",412,68,211,26,16,128,188,104,210,44,218,89,119,260,91,697,68,84,75,97,156,1182,234,84,37
"23","ASV24"," d__Bacteria"," d__Bacteria"," d__Bacteria"," d__Bacteria"," d__Bacteria"," d__Bacteria",165,466,1142,293,369,63,58,1172,289,558,50,508,109,1285,503,1666,126,128,697,669,604,2483,806,264,418
"24","ASV25"," d__Eukaryota"," d__Eukaryota"," d__Eukaryota"," d__Eukaryota"," d__Eukaryota"," d__Eukaryota",10,11,207,23,13,11,21,26,24,69,46,16,30,66,33,272,15,4,40,2,61,426,52,78,23
"25","ASV26"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Acetobacterales"," f__Acetobacteraceae"," f__Acetobacteraceae",8,0,2,29,25,0,0,7,0,3,0,29,0,2,4,0,1,3,42,1,3,0,1,39,19
"26","ASV27"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Anaerosomatales"," f__Anaerosomataceae"," f__Anaerosomataceae",4,0,0,2,2,1,0,2,0,10,14,3,38,1,3,0,0,7,56,31,3,1,0,19,10
"27","ASV28"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Peptostreptococcales"," f__Anaerovoracaceae"," f__Anaerovoracaceae",6,2,3,5,2,0,0,0,0,0,0,2,0,0,15,0,0,0,2,0,8,1,4,24,0
"28","ASV29"," d__Archaea"," p__Halobacteriota"," c__Archaeoglobi"," o__Archaeoglobales"," f__Archaeoglobaceae"," f__Archaeoglobaceae",4,1,25,4,1,1,2,8,11,4,1,6,0,22,25,80,0,4,1,0,10,81,47,6,8
"29","ASV30"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Coriobacteriales"," f__Atopobiaceae"," f__Atopobiaceae",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"30","ASV32"," d__Bacteria"," p__Bacteroidota"," c__UBA10030"," o__UBA10030"," f__BY39"," f__BY39",1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,4,0,1,0,0
"31","ASV33"," d__Bacteria"," p__Bacteroidota"," c__Rhodothermia"," o__Balneolales"," f__Balneolaceae"," f__Balneolaceae",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
"32","ASV34"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," o__Bryobacterales"," f__Bryobacteraceae"," f__Bryobacteraceae",8,1,2,2,2,0,0,6,3,13,1,12,2,18,3,5,0,3,14,0,0,3,1,1,1
"33","ASV35"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," f__Burkholderiaceae",1271,3144,2891,5625,3987,1006,990,1323,1315,876,298,3404,1251,200,129,160,2809,1085,898,540,3374,7258,2727,1311,2915
"34","ASV37"," d__Bacteria"," p__Chloroflexota"," c__Limnocylindria"," o__Limnocylindrales"," f__CSP1-4"," f__CSP1-4",2,0,6,4,2,2,1,128,3,45,0,13,1,3,12,104,0,0,11,0,3,48,53,0,0
"35","ASV38"," d__Bacteria"," p__Methylomirabilota"," c__Methylomirabilia"," o__Rokubacteriales"," f__CSP1-6"," f__CSP1-6",1,0,75,0,0,0,0,2,1,0,0,0,0,0,4,8,0,0,1,0,0,29,0,0,0
"36","ASV39"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Caulobacterales"," f__Caulobacteraceae"," f__Caulobacteraceae",284,5,1835,270,105,94,43,330,202,610,5,186,23,4,20,71,368,15,155,12,655,42,784,137,684
"37","ASV40"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Cellulomonadaceae"," f__Cellulomonadaceae",3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,2,5,0
"38","ASV41"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Chitinophagales"," f__Chitinophagaceae"," f__Chitinophagaceae",1,0,5,29,6,1,0,57,49,1,1,150,0,1,4,0,15,13,7,0,5,1,17,0,0
"39","ASV43"," d__Bacteria"," p__Desulfobacterota_E"," c__Deferrimicrobia"," o__Deferrimicrobiales"," f__Deferrimicrobiaceae"," f__Deferrimicrobiaceae",1,0,0,0,0,0,0,34,4,1,0,0,0,2,0,1,0,0,14,0,1,1,6,0,0
"40","ASV45"," d__Bacteria"," p__Desulfobacterota"," c__Desulfobacteria"," o__Desulfobacterales"," f__Desulfobacteraceae"," f__Desulfobacteraceae",1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,8,0,1,9,1
"41","ASV46"," d__Bacteria"," p__Desulfobacterota"," c__Desulfobacteria"," o__Desulfobacterales"," f__Desulfosalsimonadaceae"," f__Desulfosalsimonadaceae",6,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0
"42","ASV47"," d__Bacteria"," p__Desulfobacterota"," c__Desulfovibrionia"," o__Desulfovibrionales"," f__Desulfovibrionaceae"," f__Desulfovibrionaceae",2,0,0,4,8,0,1,0,0,0,0,2,0,2,23,1,0,0,14,0,0,1,0,1,1
"43","ASV48"," d__Bacteria"," p__Desulfobacterota"," c__Desulfobulbia"," o__Desulfobulbales"," f__Desulfurivibrionaceae"," f__Desulfurivibrionaceae",2,0,0,4,0,0,3,14,2,4,0,7,0,1,5,0,0,1,0,0,0,4,5,0,0
"44","ASV49"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Devosiaceae"," f__Devosiaceae",1,0,0,3,6,7,1,12,7,20,0,25,0,0,1,31,0,0,8,1,2,0,71,4,0
"45","ASV50"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Coriobacteriales"," f__Eggerthellaceae"," f__Eggerthellaceae",5,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0
"46","ASV51"," d__Bacteria"," p__Bacillota_I"," c__Bacilli_A"," o__Erysipelotrichales"," f__Erysipelotrichaceae"," f__Erysipelotrichaceae",1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,0,0,5,0
"47","ASV52"," d__Bacteria"," p__Edwardsbacteria"," c__AC1"," o__AC1"," f__EtOH8"," f__EtOH8",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,1
"48","ASV53"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Fen-336"," f__Fen-336"," f__Fen-336",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0
"49","ASV54"," d__Bacteria"," p__Armatimonadota"," c__Fimbriimonadia"," o__Fimbriimonadales"," f__Fimbriimonadaceae"," f__Fimbriimonadaceae",2,0,0,2,0,0,0,1,6,0,0,2,0,0,0,0,0,0,3,0,0,1,1,0,0
"50","ASV55"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Flavobacteriaceae"," f__Flavobacteriaceae",3,17,32,1,2,19,4,4,0,3,0,0,0,0,0,35,0,23,4,6,53,0,118,7,0
"51","ASV56"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Pacearchaeales"," f__GW2011-AR1"," f__GW2011-AR1",4,1,333,2,0,0,0,4,61,4,1,14,0,245,39,643,22,0,7,0,20,1554,16,9,6
"52","ASV57"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__Magasanikbacterales"," f__GWA2-37-8"," f__GWA2-37-8",1,0,24,2,1,0,0,1,41,1,0,18,0,6,4,12,0,0,0,0,4,336,2,8,0
"53","ASV58"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__GWC2-71-9"," f__GWC2-71-9",8,0,7,0,0,0,0,16,0,0,0,1,0,1,2,11,0,0,0,0,1,2,3,0,0
"54","ASV59"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Gallionellaceae"," f__Gallionellaceae",4,0,0,4,30,0,1,25,45,68,4,15,0,0,82,164,0,0,22,0,1,74,131,0,19
"55","ASV62"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__Iamiaceae"," f__Iamiaceae",4,0,0,1,1,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,1,0
"56","ASV64"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Anaerosomatales"," f__JAAXUF01"," f__JAAXUF01",3,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,33,1,12,0,1
"57","ASV65"," d__Bacteria"," p__Desulfobacterota_C"," c__Deferrisomatia"," o__Deferrisomatales"," f__JACRMM01"," f__JACRMM01",2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"58","ASV66"," d__Archaea"," p__Thermoplasmatota"," c__JASEFT01"," o__JASEFT01"," f__JAUWIS01"," f__JAUWIS01",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","ASV67"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA1400"," f__MFAQ01"," f__MFAQ01",2,0,0,0,0,0,0,3,18,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0
"60","ASV68"," d__Archaea"," p__Halobacteriota"," c__Methanocellia"," o__Methanocellales"," f__Methanocellaceae"," f__Methanocellaceae",1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"61","ASV69"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Methylococcales"," f__Methylomonadaceae"," f__Methylomonadaceae",2,27,0,11,0,21,181,6,208,128,74,10,1334,0,17,1,0,96,67,28,2355,5,6,0,0
"62","ASV70"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Methylophilaceae"," f__Methylophilaceae",587,1020,1933,26,0,1591,120,63,137,174,759,307,2006,31,8,0,20,1300,133,5,3400,16,8,2,24
"63","ASV71"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Microbacteriaceae"," f__Microbacteriaceae",69,0,1,110,12,19,3,6,31,2,1,98,0,1,14,24,80,8,212,13,19,20,130,33,81
"64","ASV72"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," f__Moraxellaceae",6,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,15,0,26,12,1
"65","ASV73"," d__Bacteria"," p__Myxococcota"," c__Myxococcia"," o__Myxococcales"," f__Myxococcaceae"," f__Myxococcaceae",2,0,2,0,38,0,0,61,1,3,0,51,0,0,1,6,0,0,8,0,0,12,3,0,0
"66","ASV76"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Nevskiales"," f__Nevskiaceae"," f__Nevskiaceae",1,0,6,0,0,0,0,9,0,29,0,4,0,0,0,0,0,1,0,0,0,0,2,1,0
"67","ASV77"," d__Bacteria"," p__Actinomycetota"," c__Nitriliruptoria"," o__Nitriliruptorales"," f__Nitriliruptoraceae"," f__Nitriliruptoraceae",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1
"68","ASV78"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Nitrosomonadaceae"," f__Nitrosomonadaceae",19,0,1,13,0,0,0,5,3,3,0,8,0,0,4,2,0,0,2,0,0,13,21,0,10
"69","ASV79"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Propionibacteriales"," f__Nocardioidaceae"," f__Nocardioidaceae",2,0,5,33,0,4,0,14,3,3,2,2,0,1,8,146,139,1,18,2,5,5,40,0,30
"70","ASV80"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Opitutales"," f__Opitutaceae"," f__Opitutaceae",20,0,7,2,2,18,12,3,16,19,0,116,0,8,24,5,0,2,10,0,0,77,39,0,4
"71","ASV81"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Oscillospirales"," f__Oscillospiraceae"," f__Oscillospiraceae",1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,6,0,0,2,0,0,4,0,0,1
"72","ASV82"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__Paludibacteraceae"," f__Paludibacteraceae",3,0,0,0,8,8,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,20,0
"73","ASV83"," d__Bacteria"," p__Myxococcota"," c__Polyangia"," o__Polyangiales"," f__Polyangiaceae"," f__Polyangiaceae",2,1,0,1,0,0,0,15,3,5,0,5,0,0,0,4,0,0,1,0,1,8,5,0,0
"74","ASV84"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Gygaellales"," f__Profunditerraquicolaceae"," f__Profunditerraquicolaceae",3,6,59,6,0,4,0,34,86,4,0,46,4,1130,131,1,0,0,4,0,22,128,17,5,1
"75","ASV85"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__Prolixibacteraceae"," f__Prolixibacteraceae",3,1,0,3,7,3,1,2,5,1,1,13,0,0,0,2,0,2,7,4,9,6,0,1,0
"76","ASV86"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Propionibacteriales"," f__Propionibacteriaceae"," f__Propionibacteriaceae",1,1,0,1,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0
"77","ASV87"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudohongiellaceae"," f__Pseudohongiellaceae",3,0,0,14,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,1,3,7,10,4,1
"78","ASV88"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," f__Pseudomonadaceae",34,0,28,1,3,27,5,7,0,4,31,0,2,1,5,40,1809,6,0,2,141,25,52,141,44
"79","ASV89"," d__Bacteria"," p__Acidobacteriota"," c__Blastocatellia"," o__Pyrinomonadales"," f__Pyrinomonadaceae"," f__Pyrinomonadaceae",15,0,1,0,0,0,0,10,0,0,0,4,0,0,1,1,0,0,0,0,0,10,5,0,0
"80","ASV90"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__Dehalococcoidales"," f__RBG-16-60-22"," f__RBG-16-60-22",1,1,0,2,0,0,0,0,0,1,0,1,0,129,0,11,0,0,9,0,16,73,9,0,0
"81","ASV91"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__RBG-16-64-13"," f__RBG-16-64-13"," f__RBG-16-64-13",7,0,0,3,0,0,0,3,0,1,0,4,0,3,0,0,0,0,11,0,1,2,1,2,0
"82","ASV92"," d__Bacteria"," p__Spirochaetota"," c__Spirochaetia"," o__Treponematales"," f__Rectinemataceae"," f__Rectinemataceae",1,0,0,11,12,0,0,1,0,0,0,35,0,0,85,0,0,1,14,0,2,2,0,0,0
"83","ASV93"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Rhizobiaceae"," f__Rhizobiaceae",10,11,11,12,26,28,0,48,8,2,1,39,0,1,8,46,156,5,55,6,61,15,27,13,1
"84","ASV94"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," f__Rhodobacteraceae",26,27,7,95,110,46,77,79,25,185,4,331,12,2,3,2909,0,30,61,74,38,8,224,330,67
"85","ASV95"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Rhodocyclaceae"," f__Rhodocyclaceae",52,21,6,36,21,3,55,60,10,217,30,11,7,1,1120,6,2,29,81,22,18,64,292,11,15
"86","ASV96"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__SG8-41"," f__SG8-41",1,0,5,1,1,0,0,2,9,15,0,13,0,0,1,8,0,0,0,0,0,51,2,0,0
"87","ASV97"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Anaerosomatales"," f__SLCP01"," f__SLCP01",6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,1,0,0,3,0
"88","ASV98"," d__Bacteria"," p__Nitrospirota"," c__Thermodesulfovibrionia"," o__Thermodesulfovibrionales"," f__SM23-35"," f__SM23-35",4,0,0,0,0,0,0,7,2,4,0,0,0,4,57,0,0,0,0,0,2,0,0,0,1
"89","ASV99"," d__Bacteria"," p__Desulfobacterota"," c__Syntrophia"," o__Syntrophales"," f__Smithellaceae"," f__Smithellaceae",13,1,0,5,0,1,0,5,0,0,0,0,1,8,0,8,0,1,0,0,18,2,2,22,0
"90","ASV100"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Solirubrobacterales"," f__Solirubrobacteraceae"," f__Solirubrobacteraceae",1,0,4,2,0,1,0,131,0,5,0,0,0,1,0,43,52,1,0,3,2,1,9,3,0
"91","ASV101"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Sphingobacteriales"," f__Sphingobacteriaceae"," f__Sphingobacteriaceae",14,0,3,13,15,0,0,7,49,7,0,70,0,0,2,4,0,2,2,0,1,6,5,1,0
"92","ASV102"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Sphingomonadales"," f__Sphingomonadaceae"," f__Sphingomonadaceae",2,198,41,38,1,54,78,86,9,39,8,21,3,0,61,9,444,8,4,0,10,17,40,38,115
"93","ASV103"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Paceibacterales"," f__Staskawiczbacteraceae"," f__Staskawiczbacteraceae",2,0,70,2,0,2,0,11,21,11,0,5,0,40,11,129,1,0,3,0,9,402,17,3,0
"94","ASV104"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Streptomycetales"," f__Streptomycetaceae"," f__Streptomycetaceae",2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0
"95","ASV106"," d__Archaea"," p__Methanobacteriota_B"," c__Thermococci"," o__Thermococcales"," f__Thermococcaceae"," f__Thermococcaceae",6,41,0,1,38,2,0,2,1,15,0,4,0,3,2,0,0,2,3,0,6,7,9,4,20
"96","ASV107"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Thiobacillaceae"," f__Thiobacillaceae",1,0,1,5,7,0,0,26,21,11,0,7,1,1,25,0,0,1,8,0,1,1,0,5,389
"97","ASV108"," d__Bacteria"," p__Bacteroidota"," c__UBA10030"," o__UBA10030"," f__UBA10030"," f__UBA10030",4,0,3,0,0,0,0,1,0,0,0,0,0,5,8,6,0,0,0,0,0,30,0,0,0
"98","ASV109"," d__Bacteria"," p__Spirochaetota"," c__Spirochaetia"," o__Treponematales"," f__UBA12059"," f__UBA12059",3,3,0,0,0,2,1,0,0,0,2,1,0,4,2,0,0,1,1,6,0,1,0,4,0
"99","ASV110"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA1400"," f__UBA12108"," f__UBA12108",1,0,0,0,0,0,0,1,15,0,0,0,0,0,0,8,0,0,0,0,0,2,9,0,0
"100","ASV111"," d__Bacteria"," p__Nitrospirota"," c__Thermodesulfovibrionia"," o__Thermodesulfovibrionales"," f__UBA1546"," f__UBA1546",5,0,0,0,0,0,0,3,4,2,0,12,3,1,0,1,0,1,0,0,0,1,1,0,0
"101","ASV112"," d__Bacteria"," p__Desulfobacterota"," c__Syntrophia"," o__Syntrophales"," f__UBA2185"," f__UBA2185",2,2,0,0,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,1,13,0,7,0
"102","ASV113"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__UBA2241"," f__UBA2241"," f__UBA2241",2,2,0,2,3,0,1,6,0,6,1,1,0,0,0,0,0,0,6,0,1,0,2,0,1
"103","ASV114"," d__Bacteria"," p__Bacteroidota"," c__Kapaibacteriia"," o__Kapaibacteriales"," f__UBA2268"," f__UBA2268",2,1,1,0,0,0,0,2,0,14,0,0,0,0,7,0,0,1,0,3,2,0,0,2,0
"104","ASV115"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__UBA2999"," f__UBA2999",2,0,45,19,0,0,0,19,3,35,0,5,0,36,2,25,0,0,9,0,0,330,29,0,0
"105","ASV116"," d__Bacteria"," p__Desulfobacterota"," c__Syntrophia"," o__Syntrophales"," f__UBA5619"," f__UBA5619",6,1,0,7,1,0,0,37,1,4,0,13,1,10,3,0,0,0,36,1,7,6,9,3,5
"106","ASV117"," d__Bacteria"," p__Chloroflexota"," c__Chloroflexia"," o__Thermomicrobiales"," f__UBA6265"," f__UBA6265",1,0,0,2,0,0,0,10,0,1,0,3,0,6,0,5,0,1,4,0,0,0,1,0,0
"107","ASV118"," d__Bacteria"," p__Nitrospirota"," c__Thermodesulfovibrionia"," o__Thermodesulfovibrionales"," f__UBA6898"," f__UBA6898",4,0,0,0,0,0,0,13,0,6,0,0,0,4,0,0,0,0,0,0,2,1,1,0,0
"108","ASV120"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Coriobacteriales"," f__UBA8131"," f__UBA8131",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","ASV122"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Anaerosomatales"," f__UBA912"," f__UBA912",1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","ASV123"," d__Bacteria"," p__Nitrospirota"," c__UBA9217"," o__UBA9217"," f__UBA9217"," f__UBA9217",20,0,0,1,1,0,0,10,0,1,0,1,0,2,0,0,0,0,0,0,7,1,11,0,0
"111","ASV124"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__Magasanikbacterales"," f__UBA922"," f__UBA922",1,0,29,8,0,0,0,2,19,0,0,0,0,1,7,49,0,0,0,0,5,86,4,2,0
